code,industry,seg_gain,pos_in_ind,w_start,w_end,ind_str
sz.002737,C27医药制造业,0.023468613624572754,0.4215686274509804,2025-07-14,2025-09-17,0.42852905329909063
sz.002741,C39计算机、通信和其他电子设备制造业,-0.024848461151123047,0.4643423137876387,2025-02-06,2025-03-31,0.7052183862600268
sz.002742,C30非金属矿物制品业,-0.012953341007232666,0.4411764705882353,2025-02-20,2025-03-28,0.49004041596493786
sz.002752,C33金属制品业,0.03220033645629883,0.5789473684210527,2025-02-19,2025-03-31,0.5553757903526504
sz.002758,F51批发业,0.021714210510253906,0.4431818181818182,2025-02-07,2025-03-27,0.4375474047630963
sz.002768,C29橡胶和塑料制品业,0.027615070343017578,0.55,2025-02-07,2025-03-31,0.5489958398734673
sz.002777,I65软件和信息技术服务业,-0.006074011325836182,0.5075075075075075,2025-02-06,2025-03-31,0.9931014231289645
sz.002782,C39计算机、通信和其他电子设备制造业,-0.00823354721069336,0.5832012678288431,2025-02-06,2025-03-31,0.7052183862600268
sz.002788,F51批发业,0.020506620407104492,0.42045454545454547,2025-02-07,2025-03-27,0.4375474047630963
sz.002791,C33金属制品业,0.007542133331298828,0.4842105263157895,2025-02-19,2025-03-31,0.5553757903526504
sz.002807,J66货币金融服务,0.0167464017868042,0.5111111111111111,2025-03-05,2025-03-27,0.28552858309265283
sz.002809,C26化学原料和化学制品制造业,-0.041264235973358154,0.46236559139784944,2021-08-24,2021-09-28,0.5957962094531348
sz.002812,C29橡胶和塑料制品业,0.01785123348236084,0.5166666666666667,2025-02-07,2025-03-31,0.5489958398734673
sz.002817,C27医药制造业,0.01820540428161621,0.40522875816993464,2025-07-14,2025-09-17,0.42852905329909063
sz.002823,C38电气机械和器材制造业,-0.011888980865478516,0.46273291925465837,2025-02-21,2025-03-28,0.5396953562537379
sz.002824,C36汽车制造业,0.0409468412399292,0.4945652173913043,2025-02-06,2025-04-01,0.7477436599786422
sz.002825,C29橡胶和塑料制品业,0.028151750564575195,0.5583333333333333,2025-02-07,2025-03-31,0.5489958398734673
sz.002826,C27医药制造业,0.07001101970672607,0.5915032679738562,2025-07-14,2025-09-17,0.42852905329909063
sz.002827,C26化学原料和化学制品制造业,-0.003960371017456055,0.5555555555555556,2021-08-24,2021-09-28,0.5957962094531348
sz.002835,C39计算机、通信和其他电子设备制造业,-0.013218164443969727,0.5451664025356577,2025-02-06,2025-03-31,0.7052183862600268
sz.002836,C23印刷和记录媒介复制业,0.01752185821533203,0.5384615384615384,2025-02-07,2025-03-27,0.48981650556429646
sz.002839,J66货币金融服务,0.019138813018798828,0.5777777777777777,2025-03-05,2025-03-27,0.28552858309265283
sz.002840,C13农副食品加工业,0.018115997314453125,0.53125,2025-02-20,2025-03-28,0.3492297720560693
sz.002841,C39计算机、通信和其他电子设备制造业,-0.03695261478424072,0.40570522979397783,2025-02-06,2025-03-31,0.7052183862600268
sz.002846,C33金属制品业,0.0011337995529174805,0.45263157894736844,2025-02-19,2025-03-31,0.5553757903526504
sz.002855,C39计算机、通信和其他电子设备制造业,-0.010281383991241455,0.5689381933438986,2025-02-06,2025-03-31,0.7052183862600268
